CODPROD,CODBARRAS,DESCRIPCION,PRECIO
73311,7501057015427,MAQUINA XTREME3 X 2,1750
73312,7501058635174,GERBER ORGANICO,950
73313,7501058635181,GERBER ORGANICO,850
73314,7501058730114,BRASSO 250ML,1100
73315,7501058743107,BETUN LIQUIDO NUGGET BLANCO 60ML,1650
73316,7501058743121,NUGGET NEGRO,1650
73317,7501058743145,PASTA NUGGET MARRON LIQ,1650
73318,7501058750367,HARDPIC FLORAL 35G,1100
73319,7501058750945,HARPIC WW,3490
73320,7501058751119,HARPIC POWER PLUS,3200
73321,7501058751195,VANISH WHITE 900ML,3590
73322,7501058751355,"GLASSEX ANTIGRASA ",2900
73323,7501058751362,GLASSEX ANTIGRASA 500ML,1580
73324,7501058753441,VANISH PODER 0,1490
73325,7501058753458,VANISH 120G,1750
73326,7501058754219,DESINFECTANTE LYSOL ANTIB  500,2200
73327,7501058754233,LYSOL BANOS ANTIHONGOS,1300
73328,7501058754851,GLASSEX BAÑO,2900
73329,7501058754868,glassex espuma activa baño limpieza completa.,2500
73330,7501058755117,DESINFECTANTE LYSOL 500ML,2200
73331,7501058756145,LIMPIADOR HARPIC LIQ  PINO,1390
73332,7501058756206,HARPIC 100G,1300
73333,7501058756282,HARPIC ACUATICO S A,890
73334,7501058756299,HARPIC ACUATICO,1150
73335,7501058756367,"HARPIC FLORAL ",1100
73336,7501058756558,HARDPIC 2 REPUESTOS,1400
73337,7501058756565,HARPIC FLORAL,1400
73338,7501058756657,HARPIC PASTILLA DESODORIZANTE,390
73339,7501058757548,VANISH REMOVEDOR DE MANCHAS 650 ML,2100
73340,7501058757722,VANISH PODER INTELLIGENCE,5490
73341,7501058757753,VANISH PODERO2 INTELLIGENCE 1 KG,7690
73342,7501058757852,VANISH REMOVEDOR  DE  MANCHAS,4200
73343,7501058757890,VANISH WHITE,5900
73344,7501058765840,PACK AMBIENTADOR AUTOMATICO,6490
73345,7501058765901,"AIR WICK ",5900
73346,7501058766557,REPUESTO FRESH MATIC,5600
73347,7501058768018,DESINFECTANTE LYSOL 300G SPRAY,1850
73348,7501058768025,DESINFECTANTE LYSOL 300G SPRAY,1850
73349,7501058784346,VANISH PODERO2 900G.,11900
73350,7501058784353,vanish 450g.,5900
73351,7501059207172,FIBER ONE NESTLE,2490
73352,7501059211315,CEREAL CLUSTERS 300g,2300
73353,7501059215504,COOKIE CRISP 360G,2100
73354,7501059219625,LECHE NAN 1 400GRS,8990
73355,7501059219649,NESTLE NAN 2,8990
73356,7501059219656,NESTLE NAN 2 1000 GRS,11900
73357,7501059221208,TRIX YOGHURT 360GRS,2300
73358,7501059227484,nan pro 1,10900
73359,7501059227675,NAN 1 PRO,23000
73360,7501059227682,NAN PRO 900G,14990
73361,7501059228405,SAVORY SANGURUCHO,790
73362,7501059229266,NAN   2   400GR,8990
73363,7501059240421,NAN 2 900G,14900
73364,7501059240452,NAN 1 0-6MESES 400GR,10700
73365,7501059275393,NIDAL 1 400G,7490
73366,7501059276925,"MAXIBON SAVORY ",1050
73367,7501059278387,PELATANO,390
73368,7501059285712,FITNESS FIBRA 370GR,3250
73369,7501059312012,GEL ALOE ALBERTO VO5 200GR,1450
73370,7501059312210,GEL ALB  VO5 X200G,1450
73371,7501059312227,GEL VO5 400GRS,1800
73372,7501059315044,GEL X-STILE 200GR VO5,1800
73373,7501059315105,TRESEMME  SHAMPOO,2900
73374,7501059315303,TRESemme SHAMPOO,2450
73375,7501059315600,TRESEMME SHAMPOO 450 ML,2900
73376,7501059325043,TRESEMME ACONDICIONADOR MOISTURE RICH 450ML,2900
73377,7501059325135,TRESemme ACONDICIONADOR SMOTH & SILKY 450ML,2900
73378,7501059325333,TRESEMMÈ ACONDICIONADOR CONTROL CAÌDA,2900
73379,7501059325401,TRESEMMÈ ACONDICIONADOR RIZOS PERFECTOS,2900
73380,7501059325418,TRESEMMÈ ACONDICIONADOR REAVITALIZANTE DEL COLOR,2900
73381,7501059325524,ACONDICIONADOR TRESemmé THERMAL RECOVERY 450ML,2900
73382,7501059325609,TRESEMME ACONDICIONADOR HUMECTACIÒN BALANCEADA,2900
73383,7501059325647,TRESEMME ACONDICIONADOR,2900
73384,7501059330559,CREMA STIVES,4250
73385,7501059341807,GEL DE BAÑO ST IVES,4000
73386,7501059342378,HOT OIL FORMULA HUMECTANTE,1950
73387,7501059342637,HOT OIL MANZANILLA Y LANG,1950
73388,7501065905369,ACE ULTRAMATIC AROMA BEBE,1990
73389,7501065920492,ACONDICCIONADOR PANTENE,3500
73390,7501065922403,SHAMPOO PANTENE RENOVACION,3500
73391,7501065922724,ALWAYS ACTIVE,1200
73392,7501065922755,ALWAYS ULTRAFINA SECA,1450
73393,7501065925374,DETERGENTE liquido Ariel 1litro,4200
73394,7501071901683,CLOROX DISINFECTING WIPES,2990
73395,7501071901690,CLOROX TOALLITAS DESINFECTANTES,2990
73396,7501071903540,TOALLITAS DESINFECTANTE CLOROX,2990
73397,7501073427532,CEREAL TRIX 30GRS,320
73398,7501086454297,CEPILLO DURALON SUAVE,1350
73399,7501086454303,CEPILLO DURALON MEDIANO,990
73400,7501091856628,PAPEL DE REGALO,250
73401,7501116812011,BIOSAN 10P ADULTOS,4800
73402,7501174965018,PLASTICINAS A10,390
73403,7501199414133,BREF LAVANDA,1900
73404,7501206689875,ACEITE MULTIUSO,1600
73405,7501386040121,TOALLITAS HUMEDAS PUPY,2500
73406,7501386040138,PUPY 70 TOALLITAS HUMEDAS,1500
73407,7501737110008,DESODORANTE ADIDAS PROT WOM,2400
73408,7501737400888,"DESODORANTE ANTITRANSPIRANTE ACTION 3 ",2450
73409,7501737426697,DESODORANTE ADIDAS GAME SPIRIT,2100
73410,7501761806052,SANDWICH DE AVENA SABOR CHOCOLATE,300
73411,7501761820904,QUAKER GALLETA CON PASAS 50GR,300
73412,7501761820911,QUAKER GALLETA CON GRANOLA 50GR,300
